audio_path,transcription,duration
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows he is slowly takes a short walk in the open air each day.wav,in the winter when it snows he is slowly takes a short walk in the open air each day,7.430375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I do not have time to go with you I am playing cricket (10).wav,I do not have time to go with you I am playing cricket,5.5728125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (10).wav,I love my family and in the future I want to make my family,5.7585625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (91).wav,I love my family and in the future I want to make my family,6.4086875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (113).wav,I don't have time to go with you I am playing cricket,3.6223125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it's not his slowly takes a short walk in the open air reached (2).wav,in the winter when it's not his slowly takes a short walk in the open air reached,9.47375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I went to make my family.wav,I love my family and in the future I went to make my family,6.5945
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (109).wav,I love my family and in the future I want to make my family,4.551125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad advocate at the bus station early but wait installed the bus game.wav,mum and dad advocate at the bus station early but wait installed the bus game,8.8235625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/and and he skipped out the the the bottle  .wav,and and he skipped out the the the bottle,5.387375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/he licks him 'cos he wanted to put the frog in   .wav,he licks him 'cos he wanted to put the frog in,3.854
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/they squeeze and one of them bite the boy's nose .wav,they squeeze and one of them bite the boy's nose,6.1280625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family proud (44).wav,I love my family and in the future I want to make my family proud,8.3591875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (15).wav,I love my family and in the future I want to make my family,5.7585625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have to time to go with you I am playing cricket (1).wav,I don't have to time to go with you I am playing cricket,4.922625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/natural gives us fruit vegetable and grains (1).wav,natural gives us fruit vegetable and grains,4.736875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/a frog and a dog and a kid.wav,a frog and a dog and a kid,3.2471875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives a fruits vegetables and grains (1).wav,nature gives a fruits vegetables and grains,4.365375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives a float vegetables and friends.wav,nature gives a float vegetables and friends,3.2508125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and and in the future I want to take my family Pro.wav,I love my family and and in the future I want to take my family Pro,11.9815
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the nature very attractive of full of my favourite green colour.wav,in the nature very attractive of full of my favourite green colour,10.2168125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows his slowly takes a short walk in the open air (2).wav,in the winter when it snows his slowly takes a short walk in the open air,5.9443125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (79).wav,nature gives us fruits vegetables and grains to,3.6223125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family proud (35).wav,I love my family and in the future I want to make my family proud,5.9443125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to eat (19).wav,nature gives us fruits vegetables and grains to eat,3.9009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows his slowly takes a short walk in the open air.wav,in the winter when it snows his slowly takes a short walk in the open air,6.4086875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it's no see slowly takes a short walk in open air each day.wav,in the winter when it's no see slowly takes a short walk in open air each day,5.9443125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Mere Chacha food vegetables and grains.wav,Mere Chacha food vegetables and grains,4.922625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and nerve at the bus station early but waited until the bus.wav,mum and nerve at the bus station early but waited until the bus,5.6656875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Dog eat bone white Elsa wants a book Adam place basket.wav,Dog eat bone white Elsa wants a book Adam place basket,8.2663125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (42).wav,I don't have time to go with you I am playing cricket,4.365375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in future I want to make my family flower.wav,I love my family and in future I want to make my family flower,8.8235625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows he slowly take a short walk in the open air.wav,in the winter when it snows he slowly take a short walk in the open air,7.3375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have to I don't have time to go with you I am playing.wav,I don't have to I don't have time to go with you I am playing,4.45825
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when its nose is slowly takes a short walk in the open air each day.wav,in the winter when its nose is slowly takes a short walk in the open air each day,8.0805625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but better until the bus.wav,mum and dad arrived at the bus station early but better until the bus,6.687375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (35).wav,nature gives us fruits vegetables and grains to,3.9938125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family earn in the future I want to make my family.wav,I love my family earn in the future I want to make my family,6.3158125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (43).wav,I love my family and in the future I want to make my family Pro,7.616125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (219).wav,I love my family and in the future I want to make my family,3.9938125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I went to go make my family proud.wav,I love my family and in the future I went to go make my family proud,9.10225
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but waited until the (1).wav,mum and dad arrived at the bus station early but waited until the,7.9876875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/bones milk Mike likes bike Elsa book Adam plays basket.wav,bones milk Mike likes bike Elsa book Adam plays basket,11.0526875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (67).wav,I don't have time to go with you I am playing cricket,4.08675
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to with you I am playing cricket.wav,I don't have time to with you I am playing cricket,4.08675
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (4).wav,I love my family and in the future I want to make my family Pro,6.2229375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (205).wav,I don't have time to go with you I am playing cricket,6.501625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in future I want to make my family (1).wav,I love my family and in future I want to make my family,5.7585625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (38).wav,I don't have time to go with you I am playing cricket,4.179625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (109).wav,I don't have time to go with you I am playing cricket,4.2725
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but waiting uniquely the bus.wav,mum and dad arrived at the bus station early but waiting uniquely the bus,11.79575
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/Dog eat both might like bikes Elsa wants books Adam place basket.wav,Dog eat both might like bikes Elsa wants books Adam place basket,9.009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but weighted until the bus game.wav,mum and dad arrived at the bus station early but weighted until the bus game,8.2663125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station but waited until the.wav,mum and dad arrived at the bus station but waited until the,6.873125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/is it is as feeling as your mother it's always sweet like.wav,is it is as feeling as your mother it's always sweet like,3.9009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when its nose he slowly take a short walk in the open air each day.wav,in the winter when its nose he slowly take a short walk in the open air each day,8.4520625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/no he's shouting out to the frog .wav,no he's shouting out to the frog,2.8214375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad are white at the bus station early but weighted uniquely the.wav,mum and dad are white at the bus station early but weighted uniquely the,7.8019375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (200).wav,I love my family and in the future I want to make my family,5.108375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nation is as carrying as our mother it's always sweet like.wav,nation is as carrying as our mother it's always sweet like,5.6656875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the best stationery but weather and in the bus.wav,mum and dad arrived at the best stationery but weather and in the bus,7.3375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/he was searching for him everywhere .wav,he was searching for him everywhere,3.8009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows is slowly takes a short walk in the open air reached.wav,in the winter when it snows is slowly takes a short walk in the open air reached,9.288
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time go with you I am playing cricket (2).wav,I don't have time go with you I am playing cricket,4.922625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/and he's shouting  out .wav,and he's shouting  out,2.77075
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (138).wav,I don't have time to go with you I am playing cricket,5.0155
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (107).wav,I don't have time to go with you I am playing cricket,6.0371875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go to go with you I am playing cricket.wav,I don't have time to go to go with you I am playing cricket,4.736875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad attitude at the bus station early but weighted until the bus.wav,mum and dad attitude at the bus station early but weighted until the bus,6.2229375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but weighted until the bus (9).wav,mum and dad arrived at the bus station early but weighted until the bus,8.5449375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but painted until the bus game.wav,mum and dad arrived at the bus station early but painted until the bus game,6.5945
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/the kid shout on the the the witch hat .wav,the kid shout on the the the witch hat,4.7084375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to.wav,nature gives us fruits vegetables and grains to,4.644
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains (28).wav,nature gives us fruits vegetables and grains,5.0155
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (171).wav,I don't have time to go with you I am playing cricket,6.0371875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the nature It is very attractive and full of my favourite green colour.wav,in the nature It is very attractive and full of my favourite green colour,8.0805625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (73).wav,I love my family and in the future I want to make my family,5.4799375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (47).wav,nature gives us fruits vegetables and grains to,4.179625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and arrived at the bus station early but wait until the bus (1).wav,mum and arrived at the bus station early but wait until the bus,7.8019375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad at the bus station early but waited until the bus.wav,mum and dad at the bus station early but waited until the bus,8.6378125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/the dog is look smelling .wav,the dog is look smelling,3.166125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/inventor when it snows is slowly takes a short walk in the open air each day.wav,inventor when it snows is slowly takes a short walk in the open air each day,6.0371875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad advocated the bus station early but better and still the bus.wav,mum and dad advocated the bus station early but better and still the bus,7.8019375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to eat (12).wav,nature gives us fruits vegetables and grains to eat,4.365375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (6).wav,I love my family and in the future I want to make my family Pro,4.551125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (3).wav,I love my family and in the future I want to make my family Pro,6.1300625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (98).wav,I don't have time to go with you I am playing cricket,3.0650625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the wind in the winter when it snows his slowly takes a short walk in the open area each.wav,in the wind in the winter when it snows his slowly takes a short walk in the open area each,8.9165
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it knows his slowly takes a short walk in the open air.wav,in the winter when it knows his slowly takes a short walk in the open air,6.501625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (152).wav,I don't have time to go with you I am playing cricket,3.9938125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when he is no he is slowly takes a short walk in the open a rich day.wav,in the winter when he is no he is slowly takes a short walk in the open a rich day,6.78025
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (23).wav,I love my family and in the future I want to make my family,4.736875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go into I am playing cricket (1).wav,I don't have time to go into I am playing cricket,4.644
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (50).wav,I don't have time to go with you I am playing cricket,3.8080625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/and the dog looked into the hive .wav,and the dog looked into the hive,3.3139375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us food vegetable and grains to.wav,nature gives us food vegetable and grains to,4.922625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (49).wav,I don't have time to go with you I am playing cricket,3.9938125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (17).wav,nature gives us fruits vegetables and grains to,3.8080625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus stationery but where until the bus.wav,mum and dad arrived at the bus stationery but where until the bus,6.2229375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (66).wav,I love my family and in the future I want to make my family,7.8019375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/manager is very attractive and full of my favourite green.wav,manager is very attractive and full of my favourite green,3.7151875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad upgrade at the bus station early but waited until the bus.wav,mum and dad upgrade at the bus station early but waited until the bus,9.195125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to eat (2).wav,nature gives us fruits vegetables and grains to eat,3.8080625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to work you are playing.wav,I don't have time to work you are playing,4.82975
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to eat (23).wav,nature gives us fruits vegetables and grains to eat,4.551125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and the future I want to make my family (7).wav,I love my family and the future I want to make my family,6.78025
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/and he puts a hat on.wav,and he puts a hat on,2.7031875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and end in the future I went to make my family.wav,I love my family and end in the future I went to make my family,9.566625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains.wav,nature gives us fruits vegetables and grains,3.9009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (226).wav,I love my family and in the future I want to make my family,6.501625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and and in the future I want to make my family (2).wav,I love my family and and in the future I want to make my family,6.1300625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family Pro (52).wav,I love my family and in the future I want to make my family Pro,4.551125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (120).wav,I love my family and in the future I want to make my family,5.7585625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (216).wav,I don't have time to go with you I am playing cricket,6.501625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/natural is as carrying as our mother it it always sweet like.wav,natural is as carrying as our mother it it always sweet like,6.2229375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it's not his slowly takes a short walk in the open area.wav,in the winter when it's not his slowly takes a short walk in the open area,7.7090625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but painted until the.wav,mum and dad arrived at the bus station early but painted until the,5.9443125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I don't have time to go with you I am playing cricket (17).wav,I don't have time to go with you I am playing cricket,4.45825
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows his slowly take a short walk in the open air HD.wav,in the winter when it snows his slowly take a short walk in the open air HD,6.4086875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/major gives us fruits vegetables and grains to eat (2).wav,major gives us fruits vegetables and grains to eat,4.45825
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/a frog and there is no frog in the bottle now.wav,a frog and there is no frog in the bottle now,5.8006875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grain (3).wav,nature gives us fruits vegetables and grain,4.45825
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (39).wav,I love my family and in the future I want to make my family,5.4799375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family proud (22).wav,I love my family and in the future I want to make my family proud,5.6656875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/in the winter when it snows he slowly takes a short walk in the open air each.wav,in the winter when it snows he slowly takes a short walk in the open air each,6.5945
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (98).wav,I love my family and in the future I want to make my family,6.2229375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family and in the future I want to make my family (125).wav,I love my family and in the future I want to make my family,5.8514375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/mum and dad arrived at the bus station early but waiting until the bus game.wav,mum and dad arrived at the bus station early but waiting until the bus game,9.009375
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (61).wav,nature gives us fruits vegetables and grains to,4.551125
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/I love my family in the future I want to make my family.wav,I love my family in the future I want to make my family,5.7585625
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/does it wants Mike likes bikes Elsa wants a book Adam place basket.wav,does it wants Mike likes bikes Elsa wants a book Adam place basket,5.2941875
/home/bhagya-peramuna/PycharmProjects/Bhagya-Reserch/Raw_data/nature gives us fruits vegetables and grains to (56).wav,nature gives us fruits vegetables and grains to,3.2508125
